countyFips,placeFips,area,year,cbBuildingPermit,sdoBuildingPermit,totalPopulation,householdPopulation,personsPerHousehold,totalHousingUnits,occupiedHousingUnits,vacantHousingUnits
000,00000,COLORADO STATE,2010,2339,0,5050332,4933380,2.49,2205618,1980922,224696
001,00000,ADAMS COUNTY,2010,131,0,443711,439684,2.85,163435,154505,8930
001,03455,Arvada (Part),2010,1,0,2857,2851,2.57,1151,1111,40
001,04000,Aurora (Part),2010,12,1,39978,39074,3.07,14132,12707,1425
001,06090,Bennett (Part),2010,0,0,1961,1961,2.74,772,716,56
001,08675,Brighton (Part),2010,9,0,33102,31556,2.95,11270,10709,561
001,16495,Commerce City,2010,33,0,46142,45791,3.15,15484,14552,932
001,26270,Federal Heights,2010,1,2,11506,11506,2.59,4878,4451,427
001,45530,Lochbuie (Part),2010,0,0,2,2,2,1,1,0
001,54330,Northglenn (Part),2010,0,0,35883,35754,2.64,14263,13524,739
001,77290,Thornton (Part),2010,60,239,119753,119291,2.86,43460,41702,1758
001,83835,Westminster (Part),2010,7,39,63974,63653,2.49,26765,25515,1250
001,99990,Unincorp. Area,2010,9,0,88553,88245,2.99,31259,29517,1742
003,00000,ALAMOSA COUNTY,2010,8,0,15474,14734,2.45,6561,6007,554
003,01090,Alamosa,2010,4,0,8796,8124,2.37,3675,3433,242
003,37380,Hooper,2010,0,0,103,103,2.34,62,44,18
003,99990,Unincorp. Area,2010,3,0,6575,6507,2.57,2824,2530,294
005,00000,ARAPAHOE COUNTY,2010,278,0,574819,569899,2.53,239171,225108,14063
005,04000,Aurora (Part),2010,95,363,286285,284633,2.6,117205,109648,7557
005,06090,Bennett (Part),2010,0,0,353,353,2.94,126,120,6
005,08070,Bow Mar (Part),2010,0,0,590,590,2.96,204,199,5
005,12815,Centennial,2010,3,23,100555,98854,2.63,38801,37517,1284
005,13845,Cherry Hills Village,2010,2,10,6019,6019,2.97,2160,2028,132
005,16385,Columbine Valley,2010,0,0,1258,1258,2.56,530,492,38
005,19630,Deer Trail,2010,0,0,547,547,2.38,274,230,44
005,24785,Englewood,2010,2,0,30292,30001,2.08,15478,14393,1085
005,28105,Foxfield,2010,1,0,689,674,2.77,254,243,11
005,30340,Glendale,2010,0,0,4189,4189,1.77,2649,2373,276
005,33035,Greenwood Village,2010,4,0,13942,13889,2.4,6301,5776,525
005,45255,Littleton (Part),2010,67,361,39510,39019,2.22,18679,17597,1082
005,69645,Sheridan,2010,0,0,5671,5671,2.54,2455,2232,223
005,99990,Unincorp. Area,2010,102,442,84919,84202,2.61,34055,32260,1795
007,00000,ARCHULETA COUNTY,2010,10,0,12060,11931,2.27,8762,5257,3505
007,56860,Pagosa Springs,2010,0,0,1724,1658,2.32,945,715,230
007,99990,Unincorp. Area,2010,10,0,10336,10273,2.26,7817,4542,3275
009,00000,BACA COUNTY,2010,0,0,3795,3713,2.2,1964,1475,489
009,11645,Campo,2010,0,0,109,109,2.32,65,41,24
009,61315,Pritchett,2010,0,0,140,140,2.41,65,50,15
009,73330,Springfield,2010,0,0,1454,1394,2.1,730,588,142
009,79270,Two Buttes,2010,0,0,43,43,1.65,30,21,9
009,81030,Vilas,2010,0,0,114,114,2.59,37,27,10
009,82460,Walsh,2010,0,0,547,525,2.09,329,236,93
009,99990,Unincorp. Area,2010,0,0,1388,1388,2.33,708,512,196
011,00000,BENT COUNTY,2010,1,0,6506,4298,2.34,2111,1728,383
011,43660,Las Animas,2010,0,0,2413,2335,2.32,1178,975,203
011,99990,Unincorp. Area,2010,1,0,4093,1963,2.37,933,753,180
013,00000,BOULDER COUNTY,2010,97,0,295605,286209,2.39,127213,119568,7645
013,07850,Boulder,2010,30,141,97901,89349,2.16,43497,41365,2132
013,24950,Erie (Part),2010,11,23,8428,8428,2.97,2895,2837,58
013,39195,Jamestown,2010,0,0,274,274,2.09,141,131,10
013,41835,Lafayette,2010,27,0,24545,24515,2.54,10023,9668,355
013,45970,Longmont (Part),2010,15,63,86486,85863,2.58,35057,33340,1717
013,46355,Louisville,2010,4,0,18406,18273,2.42,7896,7549,347
013,47070,Lyons,2010,1,4,2037,2037,2.36,905,863,42
013,53175,Nederland,2010,0,0,1447,1442,2.19,749,658,91
013,75640,Superior (Part),2010,0,0,12497,12497,2.78,4698,4501,197
013,82735,Ward,2010,0,0,150,150,2,101,75,26
013,99990,Unincorp. Area,2010,9,0,43434,43381,2.33,21251,18581,2670
014,00000,BROOMFIELD COUNTY,2010,40,0,56107,55825,2.6,22685,21498,1187
014,09280,Broomfield,2010,40,146,56107,55825,2.6,22685,21498,1187
